id;trip_number;description;shipment_number;bol;pickup;jhi_drop;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments
1;Architect;e-business Solutions;invoice Analyst Gorgeous;Greens Generic array;2020-01-06;2020-01-06;Universal Rhode Island Prairie;DELIVERED;22215;2020-01-06T06:28:50;../fake-data/blob/hipster.png;image/png;NO;Cotton infomediaries Forge;CompanyDriver;REEFER;C43;77172;Handmade
2;open-source Grass-roots;Orchestrator Grocery;primary Public-key Steel;parse card;2020-01-06;2020-01-06;COM Haiti reboot;ONROAD;67884;2020-01-06T07:01:54;../fake-data/blob/hipster.png;image/png;NO;HDD;OwnerOperator;FLATBED;C43;57531;grow
3;Tasty Savings Account Stream;Movies International;Creative Estate;circuit;2020-01-06;2020-01-06;Soap bus;PICKEDUP;6373;2020-01-06T05:06:54;../fake-data/blob/hipster.png;image/png;NO;Gloves;CompanyDriver;LTL;C20;55952;Consultant matrices
4;User-friendly Central African Republic schemas;Street;Electronics Optimized;Functionality salmon monitor;2020-01-06;2020-01-06;core Drive Table;ONROAD;42216;2020-01-06T12:21:19;../fake-data/blob/hipster.png;image/png;YES;cross-platform mint green;CompanyDriver;REEFER;C43;9756;Kwacha
5;Savings Account context-sensitive;Personal Loan Account;red;Lead;2020-01-06;2020-01-06;Chicken generate green;DELIVERED;25565;2020-01-06T10:11:32;../fake-data/blob/hipster.png;image/png;YES;Lead payment Salad;CompanyDriver;FLATBED;C53;94343;transition
6;Corporate hard drive invoice;experiences synthesizing;Boliviano Mvdol European Unit of Account 17(E.U.A.-17);Home;2020-01-06;2020-01-06;Global input calculate;DELIVERED;60116;2020-01-06T03:28:10;../fake-data/blob/hipster.png;image/png;YES;Tools Shoes invoice;OwnerOperator;LTL;C20;33715;Product Movies Delaware
7;Manager bandwidth-monitored Saint Lucia;hacking;Mountains;Pula Chief;2020-01-06;2020-01-06;Distributed eyeballs;DELIVERED;68005;2020-01-06T10:12:39;../fake-data/blob/hipster.png;image/png;YES;Paradigm Mouse functionalities;CompanyDriver;LTL;C53;97819;experiences methodical
8;Burkina Faso SCSI;innovative cyan Danish Krone;Practical;South Dakota deposit;2020-01-06;2020-01-06;Baby Tactics;INVOICED;26947;2020-01-06T12:46:52;../fake-data/blob/hipster.png;image/png;NO;deposit Hat;OwnerOperator;REEFER;C53;63915;grid-enabled
9;Vermont virtual;transition RAM Palladium;forecast Pakistan Rupee background;Michigan Representative;2020-01-05;2020-01-06;Manager Accountability card;ONROAD;4120;2020-01-06T16:06:58;../fake-data/blob/hipster.png;image/png;YES;support;OwnerOperator;LTL;C43;78563;hacking interface
10;Re-contextualized implement;Auto Loan Account Handcrafted Soft Bacon;District;Clothing;2020-01-06;2020-01-06;invoice Avon;ONROAD;17049;2020-01-06T22:25:31;../fake-data/blob/hipster.png;image/png;NO;Australian Dollar;OwnerOperator;FLATBED;C20;64536;microchip
