id;order_no;tax_rate;tax_type;currency;invoice_tax_total;invoice_sub_total;invoice_total;invoice_date;invoice_paid_date;ref_value_1;ref_value_2;ref_value_3;pay_ref_no;invoice_due_date;status;invoice_pdf;invoice_pdf_content_type;remarks
1;Texas Concrete;29354;GST;CAD;30348;64379;78406;2020-01-06;2020-01-06;reboot Rhode Island bypassing;national Marketing Consultant;streamline reciprocal;Virginia Borders;2020-01-06;OVERDRAFT;../fake-data/blob/hipster.png;image/png;lime program
2;1080p Engineer intuitive;41434;FEDRAL;INR;83962;82892;87316;2020-01-06;2020-01-06;strategic open architecture visualize;Dynamic function;Armenian Dram Fresh Tasty Plastic Mouse;Awesome;2020-01-06;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;hub
3;Buckinghamshire Agent SDD;78043;GST;INR;82749;26260;53788;2020-01-06;2020-01-06;auxiliary;Forward;Ergonomic Concrete Salad Alaska Colorado;Auto Loan Account Small Rubber Pants;2020-01-05;PAID;../fake-data/blob/hipster.png;image/png;Intuitive index
4;array pixel Small Rubber Salad;58618;GST;INR;94138;76107;34503;2020-01-06;2020-01-06;sticky Home Loan Account;deploy;Generic Ethiopian Birr Assurance;COM Refined Cotton Bacon eyeballs;2020-01-06;OVERDRAFT;../fake-data/blob/hipster.png;image/png;visionary
5;functionalities bifurcated;26066;GST;CAD;23716;26067;94911;2020-01-06;2020-01-06;Rubber Pizza;haptic Money Market Account Devolved;Internal Small Cotton Table;Rustic Fresh Bacon Mall;2020-01-06;VOIDED;../fake-data/blob/hipster.png;image/png;utilize Dynamic
6;Hat Money Market Account;23300;FEDRAL;INR;46626;10823;65656;2020-01-06;2020-01-06;Steel;Unions Savings Account Manager;Metal Court Centers;Sleek Concrete Cheese Cambridgeshire;2020-01-06;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;cross-platform deposit
7;input Berkshire;95947;GST;INR;89980;99280;28938;2020-01-06;2020-01-06;Cotton Jewelery;Officer Health Albania;deposit CSS;Granite Dong Kids;2020-01-06;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;Cheese programming
8;Money Market Account SDD e-business;73373;FEDRAL;INR;39810;29892;47792;2020-01-06;2020-01-06;24/365 Burkina Faso haptic;Communications 24/365 Avon;24/365;withdrawal Specialist empowering;2020-01-06;VOIDED;../fake-data/blob/hipster.png;image/png;Unbranded Steel
9;withdrawal;84226;FEDRAL;CAD;466;88540;91286;2020-01-06;2020-01-06;auxiliary invoice;Japan;SQL;Sleek;2020-01-06;OVERDRAFT;../fake-data/blob/hipster.png;image/png;maroon Vermont Refined
10;SMTP leverage ubiquitous;73773;GST;USD;47668;75582;17034;2020-01-06;2020-01-06;partnerships paradigms;Sports;Rustic Cotton Computer Principal;calculate indigo Centralized;2020-01-06;PARTIALLY_PAID;../fake-data/blob/hipster.png;image/png;schemas Developer Fresh
